"screen_name","text","stripped_text1"
"Visit__World","New Zealand Reopening To Visitors… With A Catch https://t.co/pkf6q0nU7Y #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","New Zealand Reopening To Visitors… With A Catch  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Airfare of the Day [Business Class] AMERICAN AIRLINES San Francisco to Madrid from $1,858 https://t.co/HMF1kNAaZ0 #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Airfare of the Day [Business Class] AMERICAN AIRLINES San Francisco to Madrid from $1,858  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Review: Grand Hyatt Athens, Greece https://t.co/UlGZo8gGeJ #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Review: Grand Hyatt Athens, Greece  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","IHG Rewards Greater China 18% Off Member Rate Through January 27, 2022 https://t.co/Ie4LjM0duP #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","IHG Rewards Greater China 18% Off Member Rate Through January 27, 2022  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","10% Of KLM Passengers From South Africa Test Positive For Coronavirus https://t.co/TBx3N3tgbE #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","10% Of KLM Passengers From South Africa Test Positive For Coronavirus  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Qatar Airways Privilege Club 3,650 Bonus Miles For Each Booking November 19 – 21, 2021 https://t.co/QOUPjuA46D #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Qatar Airways Privilege Club 3,650 Bonus Miles For Each Booking November 19 – 21, 2021  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Accor ALL South America + Double Points Through December 29, 2022 (Book By November 29) https://t.co/S5GNYFTihq #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Accor ALL South America + Double Points Through December 29, 2022 (Book By November 29)  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Air Canada Will Pay Less Than 10% Of U.S. Department Of Transportation’s $25.5M Fine Due To Delayed Refunds https://t.co/0RTaubNaRZ #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Air Canada Will Pay Less Than 10% Of U.S. Department Of Transportation’s $25.5M Fine Due To Delayed Refunds  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","United Explorer Card Review: Rich Benefits &amp; 60K Miles https://t.co/wIQPQFjbj4 #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","United Explorer Card Review: Rich Benefits &amp; 60K Miles  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Italy’s ITA Volare Offering Elite Status Match https://t.co/FAt9mvGOTH #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Italy’s ITA Volare Offering Elite Status Match  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Suite Saturdays: Caroline Astor Suite @ The St. Regis Bangkok https://t.co/Ifjuw7pK3D #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Suite Saturdays: Caroline Astor Suite @ The St. Regis Bangkok  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","American AAdvantage Selling Miles For 45% Off https://t.co/oX6nS6cSwW #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","American AAdvantage Selling Miles For 45% Off  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Aegean Offering 6,000 Miles To New Members https://t.co/GlDwShwLtn #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Aegean Offering 6,000 Miles To New Members  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
